dataset,algorithm,variant,seed,hyperparameters,accuracy,f1_score,fit_time,predict_time,total_time_seconds,train_size,series_length,num_classes
Rock,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9,0.8933441558441558,4.752664089202881,11.780004978179932,16.532669067382812,20,2844,4
SmoothSubspace,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.98,0.9799960388195683,0.6488795280456543,0.9679679870605469,1.6168475151062012,150,15,3
SmoothSubspace,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.98,0.9799960388195683,0.5789272785186768,0.9424855709075928,1.5214128494262695,150,15,3
SmoothSubspace,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.9733333333333334,0.973327997865813,0.58843994140625,0.8644871711730957,1.4529271125793457,150,15,3
Crop,BOSS,BOSS_Standard,0,"{""max_ensemble_size"": 500, ""feature_selection"": ""none"", ""threshold"": 0.92, ""n_jobs"": -1, ""effective_min_window"": 10, ""effective_max_prop"": 46}",0.6644047619047619,0.6653514752432547,3416.2501628398895,914.2520604133606,4330.50222325325,7200,46,24
Crop,BOSS,BOSS_Standard,1,"{""max_ensemble_size"": 500, ""feature_selection"": ""none"", ""threshold"": 0.92, ""n_jobs"": -1, ""effective_min_window"": 10, ""effective_max_prop"": 46}",0.6649404761904761,0.6654986632044966,3414.474344968796,911.1932899951935,4325.667634963989,7200,46,24
Crop,BOSS,BOSS_Standard,2,"{""max_ensemble_size"": 500, ""feature_selection"": ""none"", ""threshold"": 0.92, ""n_jobs"": -1, ""effective_min_window"": 10, ""effective_max_prop"": 46}",0.6641071428571429,0.6647602444388677,3416.676527738571,911.1534581184387,4327.82998585701,7200,46,24
Chinatown,BOSS,BOSS_Standard,0,"{""max_ensemble_size"": 500, ""feature_selection"": ""none"", ""threshold"": 0.92, ""n_jobs"": -1, ""effective_min_window"": 10, ""effective_max_prop"": 24}",0.9067055393586005,0.8870781893004115,5.866491079330444,2.539396047592163,8.405887126922607,20,24,2
Chinatown,BOSS,BOSS_Standard,1,"{""max_ensemble_size"": 500, ""feature_selection"": ""none"", ""threshold"": 0.92, ""n_jobs"": -1, ""effective_min_window"": 10, ""effective_max_prop"": 24}",0.9067055393586005,0.8870781893004115,5.821943283081055,2.534653902053833,8.356597185134888,20,24,2
Chinatown,BOSS,BOSS_Standard,2,"{""max_ensemble_size"": 500, ""feature_selection"": ""none"", ""threshold"": 0.92, ""n_jobs"": -1, ""effective_min_window"": 10, ""effective_max_prop"": 24}",0.9067055393586005,0.8870781893004115,5.917636156082153,2.5580203533172607,8.475656509399414,20,24,2
